2025-11-01 18:08:49,735 INFO    MainThread:14072 [wandb_setup.py:_flush():81] Current SDK version is 0.22.3
2025-11-01 18:08:49,736 INFO    MainThread:14072 [wandb_setup.py:_flush():81] Configure stats pid to 14072
2025-11-01 18:08:49,736 INFO    MainThread:14072 [wandb_setup.py:_flush():81] Loading settings from C:\Users\user\.config\wandb\settings
2025-11-01 18:08:49,736 INFO    MainThread:14072 [wandb_setup.py:_flush():81] Loading settings from D:\class\資料科學\wandb\settings
2025-11-01 18:08:49,736 INFO    MainThread:14072 [wandb_setup.py:_flush():81] Loading settings from environment variables
2025-11-01 18:08:49,736 INFO    MainThread:14072 [wandb_init.py:setup_run_log_directory():706] Logging user logs to D:\class\資料科學\wandb\run-20251101_180849-7kau2x2l\logs\debug.log
2025-11-01 18:08:49,738 INFO    MainThread:14072 [wandb_init.py:setup_run_log_directory():707] Logging internal logs to D:\class\資料科學\wandb\run-20251101_180849-7kau2x2l\logs\debug-internal.log
2025-11-01 18:08:49,738 INFO    MainThread:14072 [wandb_init.py:init():833] calling init triggers
2025-11-01 18:08:49,738 INFO    MainThread:14072 [wandb_init.py:init():838] wandb.init called with sweep_config: {}
config: {'max_seq_len': 10, 'lstm_units': 128, 'dropout': 0.3, 'learning_rate': 0.001, 'epochs': 20, 'batch_size': 64, '_wandb': {}}
2025-11-01 18:08:49,738 INFO    MainThread:14072 [wandb_init.py:init():881] starting backend
2025-11-01 18:08:52,349 INFO    MainThread:14072 [wandb_init.py:init():884] sending inform_init request
2025-11-01 18:08:52,392 INFO    MainThread:14072 [wandb_init.py:init():892] backend started and connected
2025-11-01 18:08:52,393 INFO    MainThread:14072 [wandb_init.py:init():962] updated telemetry
2025-11-01 18:08:52,434 INFO    MainThread:14072 [wandb_init.py:init():986] communicating run to backend with 90.0 second timeout
2025-11-01 18:08:56,266 INFO    MainThread:14072 [wandb_init.py:init():1033] starting run threads in backend
2025-11-01 18:08:56,584 INFO    MainThread:14072 [wandb_run.py:_console_start():2506] atexit reg
2025-11-01 18:08:56,584 INFO    MainThread:14072 [wandb_run.py:_redirect():2354] redirect: wrap_raw
2025-11-01 18:08:56,584 INFO    MainThread:14072 [wandb_run.py:_redirect():2423] Wrapping output streams.
2025-11-01 18:08:56,584 INFO    MainThread:14072 [wandb_run.py:_redirect():2446] Redirects installed.
2025-11-01 18:08:56,599 INFO    MainThread:14072 [wandb_init.py:init():1073] run started, returning control to user process
2025-11-01 18:12:58,587 INFO    wandb-AsyncioManager-main:14072 [service_client.py:_forward_responses():80] Reached EOF.
2025-11-01 18:12:58,587 INFO    wandb-AsyncioManager-main:14072 [mailbox.py:close():137] Closing mailbox, abandoning 1 handles.
